Consumo Total no período (Wh): 372.7250000000
plaqueta;numero de série;lat;long;consumo acumulado (Wh);data inicial;data final
14922;2015451052904;-23,594;-46,919;0,000;14/12/2022;21/12/2022
14923;2015451052860;-23,594;-46,918;0,000;14/12/2022;21/12/2022
14924;2015451053621;-23,593;-46,918;0,000;14/12/2022;21/12/2022
14925;2015451053543;-23,594;-46,918;0,000;14/12/2022;21/12/2022
14928;2015451053633;-23,593;-46,918;0,000;14/12/2022;21/12/2022
14929;2036456066868;-23,597;-46,917;0,000;14/12/2022;21/12/2022
14930;2036456066692;-23,597;-46,917;0,000;14/12/2022;21/12/2022
14931;2015451053376;-23,597;-46,917;0,000;14/12/2022;21/12/2022
14932;2015451052804;-23,597;-46,917;0,000;14/12/2022;21/12/2022
14933;2015451053416;-23,598;-46,917;0,000;14/12/2022;21/12/2022
14934;2036456066904;-23,598;-46,917;0,000;14/12/2022;21/12/2022
14935;2015451052880;-23,593;-46,918;0,000;14/12/2022;21/12/2022
14936;2015451052928;-23,593;-46,916;0,000;14/12/2022;21/12/2022
14937;2015451052900;-23,593;-46,916;0,000;14/12/2022;21/12/2022
14938;2036456067288;-23,593;-46,916;0,000;14/12/2022;21/12/2022
14939;2015451052977;-23,593;-46,916;0,000;14/12/2022;21/12/2022
14940;2036456066716;-23,593;-46,916;0,000;14/12/2022;21/12/2022
14941;2015451052930;-23,593;-46,915;0,000;14/12/2022;21/12/2022
14942;2015451053463;-23,593;-46,915;0,000;14/12/2022;21/12/2022
14946;2015451053593;-23,593;-46,917;0,000;14/12/2022;21/12/2022
14959;2015451053624;-23,593;-46,917;0,000;14/12/2022;21/12/2022
14965;2015451053458;-23,593;-46,917;0,000;14/12/2022;21/12/2022
14966;2015451052936;-23,593;-46,917;0,000;14/12/2022;21/12/2022
14967;2015451053444;-23,593;-46,917;0,000;14/12/2022;21/12/2022
14968;2015451053461;-23,593;-46,916;0,000;14/12/2022;21/12/2022
14969;2015451053446;-23,593;-46,916;0,000;14/12/2022;21/12/2022
14970;2015451053469;-23,593;-46,916;0,000;14/12/2022;21/12/2022
14971;2015451053452;-23,593;-46,917;0,000;14/12/2022;21/12/2022
14972;2015451052843;-23,593;-46,916;0,000;14/12/2022;21/12/2022
14973;2015451052861;-23,593;-46,916;0,000;14/12/2022;21/12/2022
14974;2015451053650;-23,593;-46,916;0,000;14/12/2022;21/12/2022
14995;2015451052839;-23,594;-46,915;0,000;14/12/2022;21/12/2022
14997;2015451053484;-23,593;-46,916;0,000;14/12/2022;21/12/2022
14998;2015451053567;-23,593;-46,916;0,000;14/12/2022;21/12/2022
14999;2036456068188;-23,594;-46,916;0,000;14/12/2022;21/12/2022
15000;2036456068129;-23,594;-46,916;0,000;14/12/2022;21/12/2022
15001;2015451052866;-23,593;-46,916;0,000;14/12/2022;21/12/2022
15002;2015451053631;-23,593;-46,916;0,000;14/12/2022;21/12/2022
15003;2015451053655;-23,593;-46,917;0,000;14/12/2022;21/12/2022
15004;2015451053467;-23,593;-46,917;0,000;14/12/2022;21/12/2022
15005;2036456068043;-23,593;-46,917;0,000;14/12/2022;21/12/2022
15006;2036456068226;-23,594;-46,918;0,288;14/12/2022;21/12/2022
15007;2036456066689;-23,594;-46,917;0,000;14/12/2022;21/12/2022
15009;2036456068015;-23,594;-46,918;0,000;14/12/2022;21/12/2022
15015;2036456068183;-23,594;-46,918;0,000;14/12/2022;21/12/2022
15016;2036456066717;-23,595;-46,918;0,000;14/12/2022;21/12/2022
15017;2036456066858;-23,595;-46,917;0,000;14/12/2022;21/12/2022
15018;2036456068212;-23,595;-46,917;0,000;14/12/2022;21/12/2022
15019;2036456068094;-23,595;-46,917;0,000;14/12/2022;21/12/2022
15020;2015451030018;-23,595;-46,917;0,000;14/12/2022;21/12/2022
15021;2036456066909;-23,595;-46,917;0,000;14/12/2022;21/12/2022
15022;2036456066713;-23,596;-46,917;0,000;14/12/2022;21/12/2022
15023;2036456066767;-23,595;-46,917;0,000;14/12/2022;21/12/2022
15024;2036456066749;-23,595;-46,917;0,000;14/12/2022;21/12/2022
15025;2036456068120;-23,595;-46,917;0,000;14/12/2022;21/12/2022
15026;2036456068148;-23,595;-46,917;0,000;14/12/2022;21/12/2022
15029;2036456066768;-23,595;-46,917;0,000;14/12/2022;21/12/2022
15030;2036456068314;-23,594;-46,917;0,000;14/12/2022;21/12/2022
15031;2036456066911;-23,594;-46,917;0,000;14/12/2022;21/12/2022
15032;2036456067252;-23,594;-46,917;0,000;14/12/2022;21/12/2022
15033;2036456068016;-23,594;-46,918;0,000;14/12/2022;21/12/2022
15034;2036456067166;-23,595;-46,916;0,000;14/12/2022;21/12/2022
15035;2036456067247;-23,595;-46,916;0,000;14/12/2022;21/12/2022
15036;2036456068208;-23,595;-46,916;0,000;14/12/2022;21/12/2022
15037;2036456065967;-23,596;-46,916;0,000;14/12/2022;21/12/2022
15038;2036456067158;-23,596;-46,916;0,000;14/12/2022;21/12/2022
15043;2036456068112;-23,596;-46,916;0,000;14/12/2022;21/12/2022
15044;2036456067159;-23,596;-46,916;0,000;14/12/2022;21/12/2022
15045;2036456068264;-23,596;-46,916;0,000;14/12/2022;21/12/2022
15046;2036456066031;-23,596;-46,915;0,000;14/12/2022;21/12/2022
15047;2036456067273;-23,597;-46,916;0,000;14/12/2022;21/12/2022
15091;2036456067155;-23,594;-46,915;0,000;14/12/2022;21/12/2022
15092;2036456067188;-23,594;-46,916;0,000;14/12/2022;21/12/2022
15093;2036456066907;-23,594;-46,916;0,000;14/12/2022;21/12/2022
15094;2036456067184;-23,594;-46,916;0,000;14/12/2022;21/12/2022
15095;2036456067182;-23,594;-46,917;0,000;14/12/2022;21/12/2022
15096;2015451053599;-23,594;-46,917;0,000;14/12/2022;21/12/2022
15097;2015451052865;-23,593;-46,917;0,000;14/12/2022;21/12/2022
15098;2036456067180;-23,594;-46,917;0,000;14/12/2022;21/12/2022
15099;2036456067240;-23,594;-46,917;0,000;14/12/2022;21/12/2022
15100;2036456067217;-23,595;-46,917;0,000;14/12/2022;21/12/2022
15101;2015451045249;-23,595;-46,917;0,000;14/12/2022;21/12/2022
15112;2015451053388;-23,598;-46,918;0,000;14/12/2022;21/12/2022
15113;2036456066833;-23,598;-46,918;0,000;14/12/2022;21/12/2022
15114;2036456067256;-23,598;-46,918;0,000;14/12/2022;21/12/2022
15115;2036456068219;-23,599;-46,918;0,000;14/12/2022;21/12/2022
15116;2036456068156;-23,599;-46,918;0,000;14/12/2022;21/12/2022
15117;2036456066850;-23,599;-46,918;0,000;14/12/2022;21/12/2022
15118;2015451053447;-23,600;-46,918;0,000;14/12/2022;21/12/2022
15119;2015451053646;-23,600;-46,918;0,000;14/12/2022;21/12/2022
15120;2015451053564;-23,600;-46,917;0,000;14/12/2022;21/12/2022
15121;2036456068125;-23,600;-46,917;0,000;14/12/2022;21/12/2022
15122;2036456068091;-23,600;-46,917;0,000;14/12/2022;21/12/2022
15123;2015451053602;-23,600;-46,917;0,000;14/12/2022;21/12/2022
15124;2036456066887;-23,598;-46,918;0,000;14/12/2022;21/12/2022
15125;2036456066835;-23,599;-46,918;0,000;14/12/2022;21/12/2022
15126;2036456068237;-23,599;-46,918;0,000;14/12/2022;21/12/2022
15127;2036456066825;-23,599;-46,918;0,000;14/12/2022;21/12/2022
15128;2036456068034;-23,599;-46,918;0,000;14/12/2022;21/12/2022
15129;2036456066779;-23,600;-46,917;0,000;14/12/2022;21/12/2022
15130;2036456068046;-23,600;-46,917;0,000;14/12/2022;21/12/2022
15131;2036456068099;-23,600;-46,917;0,000;14/12/2022;21/12/2022
15132;2036456066872;-23,600;-46,917;0,000;14/12/2022;21/12/2022
15133;2036456066781;-23,600;-46,917;0,000;14/12/2022;21/12/2022
15134;2036456066741;-23,600;-46,917;0,000;14/12/2022;21/12/2022
15135;2036456066688;-23,600;-46,917;0,000;14/12/2022;21/12/2022
15136;2036456068173;-23,600;-46,917;0,000;14/12/2022;21/12/2022
15137;2036456066769;-23,600;-46,917;0,000;14/12/2022;21/12/2022
15138;2036456066864;-23,600;-46,916;0,000;14/12/2022;21/12/2022
15147;2036456068315;-23,597;-46,916;0,000;14/12/2022;21/12/2022
15148;2036456066897;-23,597;-46,916;0,000;14/12/2022;21/12/2022
15149;2036456065681;-23,597;-46,916;0,000;14/12/2022;21/12/2022
15150;2036456067229;-23,597;-46,916;0,000;14/12/2022;21/12/2022
15151;2036456065962;-23,597;-46,916;0,000;14/12/2022;21/12/2022
15152;2036456067269;-23,598;-46,916;0,000;14/12/2022;21/12/2022
15153;2036456066105;-23,598;-46,916;0,000;14/12/2022;21/12/2022
15154;2036456065903;-23,598;-46,917;0,000;14/12/2022;21/12/2022
15155;2036456067189;-23,598;-46,917;0,000;14/12/2022;21/12/2022
15156;2036456068089;-23,598;-46,917;0,000;14/12/2022;21/12/2022
15157;2036456067267;-23,598;-46,917;0,000;14/12/2022;21/12/2022
15158;2036456067241;-23,598;-46,917;0,000;14/12/2022;21/12/2022
15160;2036456067205;-23,598;-46,918;0,000;14/12/2022;21/12/2022
15161;2036456067193;-23,598;-46,918;0,000;14/12/2022;21/12/2022
15162;2036456066777;-23,598;-46,918;0,000;14/12/2022;21/12/2022
15163;2036456068174;-23,598;-46,918;0,000;14/12/2022;21/12/2022
15164;2036456066890;-23,598;-46,919;0,000;14/12/2022;21/12/2022
15165;2036456067208;-23,598;-46,919;0,000;14/12/2022;21/12/2022
15166;2036456068275;-23,598;-46,919;0,000;14/12/2022;21/12/2022
15167;2036456067198;-23,597;-46,919;0,000;14/12/2022;21/12/2022
15168;2036456068182;-23,597;-46,919;0,000;14/12/2022;21/12/2022
15169;2036456068067;-23,597;-46,919;0,000;14/12/2022;21/12/2022
15170;2036456067190;-23,597;-46,919;0,000;14/12/2022;21/12/2022
15171;2036456067271;-23,596;-46,919;0,000;14/12/2022;21/12/2022
15173;2036456066903;-23,596;-46,918;0,000;14/12/2022;21/12/2022
15174;2036456067218;-23,596;-46,918;0,000;14/12/2022;21/12/2022
15175;2015451053479;-23,596;-46,918;0,000;14/12/2022;21/12/2022
15176;2015451053413;-23,596;-46,917;0,000;14/12/2022;21/12/2022
15177;2036456068141;-23,596;-46,918;0,000;14/12/2022;21/12/2022
15178;2036456066697;-23,596;-46,918;0,000;14/12/2022;21/12/2022
15179;2036456068086;-23,597;-46,918;0,000;14/12/2022;21/12/2022
15180;2036456068087;-23,597;-46,918;0,000;14/12/2022;21/12/2022
15181;2036456068117;-23,597;-46,918;0,000;14/12/2022;21/12/2022
15182;2036456068095;-23,598;-46,918;0,000;14/12/2022;21/12/2022
15183;2036456068042;-23,598;-46,918;0,000;14/12/2022;21/12/2022
15184;2036456066896;-23,598;-46,918;0,000;14/12/2022;21/12/2022
15186;2036456068108;-23,598;-46,918;0,000;14/12/2022;21/12/2022
15187;2015451052286;-23,598;-46,918;0,000;14/12/2022;21/12/2022
15196;2036456066681;-23,598;-46,918;0,000;14/12/2022;21/12/2022
15197;2036456066793;-23,598;-46,918;0,000;14/12/2022;21/12/2022
15198;2036456066840;-23,598;-46,918;0,000;14/12/2022;21/12/2022
15199;2015451052720;-23,597;-46,918;0,000;14/12/2022;21/12/2022
15200;2036456068044;-23,597;-46,917;0,000;14/12/2022;21/12/2022
15208;2015451053583;-23,599;-46,919;0,000;14/12/2022;21/12/2022
15209;2015451053592;-23,598;-46,919;0,000;14/12/2022;21/12/2022
15210;2015451053582;-23,598;-46,920;0,000;14/12/2022;21/12/2022
15211;2015451053580;-23,598;-46,920;0,000;14/12/2022;21/12/2022
15212;2015451053620;-23,598;-46,920;0,000;14/12/2022;21/12/2022
15213;2015451053561;-23,597;-46,920;0,000;14/12/2022;21/12/2022
15214;2015451053668;-23,598;-46,920;0,000;14/12/2022;21/12/2022
15215;2015451053549;-23,597;-46,921;0,000;14/12/2022;21/12/2022
15217;2015451053143;-23,596;-46,921;0,000;14/12/2022;21/12/2022
15218;2015451053653;-23,596;-46,921;0,000;14/12/2022;21/12/2022
15219;2015451053550;-23,595;-46,921;0,000;14/12/2022;21/12/2022
15220;2015451053641;-23,595;-46,921;0,000;14/12/2022;21/12/2022
15221;2015451053552;-23,595;-46,921;0,000;14/12/2022;21/12/2022
15222;2015451053591;-23,594;-46,921;0,000;14/12/2022;21/12/2022
15224;2015451053636;-23,594;-46,921;0,000;14/12/2022;21/12/2022
15225;2015451053622;-23,594;-46,921;0,000;14/12/2022;21/12/2022
15226;2015451053589;-23,593;-46,921;0,000;14/12/2022;21/12/2022
15227;2015451053629;-23,593;-46,921;0,000;14/12/2022;21/12/2022
15228;2015451053546;-23,594;-46,921;0,000;14/12/2022;21/12/2022
15229;2015451053661;-23,593;-46,921;0,000;14/12/2022;21/12/2022
15230;2015451053545;-23,593;-46,921;0,000;14/12/2022;21/12/2022
15231;2015451053556;-23,593;-46,921;0,000;14/12/2022;21/12/2022
