Consumo Total no período (Wh): 0.0000000000
plaqueta;numero de série;lat;long;consumo acumulado (Wh);data inicial;data final
16444;2015451053527;-23,571;-46,925;0;14/12/2022;21/12/2022
33713;2015451053350;-23,564;-46,928;0;14/12/2022;21/12/2022
33714;2015451053613;-23,564;-46,929;0;14/12/2022;21/12/2022
33715;2015451053404;-23,564;-46,928;0;14/12/2022;21/12/2022
33716;2015451053373;-23,565;-46,928;0;14/12/2022;21/12/2022
33717;2015451053577;-23,565;-46,928;0;14/12/2022;21/12/2022
33718;2015451053528;-23,565;-46,928;0;14/12/2022;21/12/2022
33719;2015451053397;-23,565;-46,928;0;14/12/2022;21/12/2022
33720;2015451053390;-23,571;-46,925;0;14/12/2022;21/12/2022
33721;2015451053508;-23,570;-46,925;0;14/12/2022;21/12/2022
33722;2015451053363;-23,572;-46,925;0;14/12/2022;21/12/2022
33723;2015451053362;-23,572;-46,925;0;14/12/2022;21/12/2022
33724;2036456066843;-23,578;-46,923;0;14/12/2022;21/12/2022
33725;2121491193368;-23,580;-46,922;0;14/12/2022;21/12/2022
33726;2036456066782;-23,588;-46,921;0;14/12/2022;21/12/2022
33727;2036456068276;-23,584;-46,920;0;14/12/2022;21/12/2022
33728;2036456068280;-23,587;-46,921;0;14/12/2022;21/12/2022
33729;2036456068282;-23,587;-46,921;0;14/12/2022;21/12/2022
33780;2036456066831;-23,577;-46,923;0;14/12/2022;21/12/2022
08136;2015451053408;-23,574;-46,924;0;14/12/2022;21/12/2022
08107A;2036456068233;-23,578;-46,923;0;14/12/2022;21/12/2022
33779;2121491195458;-23,578;-46,923;0;14/12/2022;21/12/2022
10205;2121491193662;-23,579;-46,923;0;14/12/2022;21/12/2022
10264;2121491195431;-23,579;-46,923;0;14/12/2022;21/12/2022
10265;2121491195617;-23,579;-46,923;0;14/12/2022;21/12/2022
